TIPO DE PRODUCTO:,Gravámenes Vigentes,Ad / Valorem,Impuesto Selectivo al Consumo,Impuesto General a las Ventas,Impuesto de Promoción Municipal,Derecho Específicos,Derecho Antidumping,Seguro,Sobretasa Tributo,Unidad de Medida:,Sobretasa Sanción,hs_code
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,0.75%,0%,(*),N.A.,2701200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,0.75%,0%,(*),N.A.,2702100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,0.75%,0%,(*),N.A.,2702200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,2930902900
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,2930903000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,2930907000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,2930908000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,2932110000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,2932120000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,2932131000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,2932132000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,2932910000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,2932920000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,2932930000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,2932940000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,2932950000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,2932991000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,2932992000
  LEY 31651 29.12.2022-D.LEG.1519 30.12.2021-LEY 31105 31.12.2020-D.URG.24-2019-12.12.19-LEY 30899 28.,Valor,0%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,705210000
  LEY 31651 29.12.2022-D.LEG.1519 30.12.2021-LEY 31105 31.12.2020-D.URG.24-2019-12.12.19-LEY 30899 28.,Valor,0%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,705290000
  LEY 31651 29.12.2022-D.LEG.1519 30.12.2021-LEY 31105 31.12.2020-D.URG.24-2019-12.12.19-LEY 30899 28.,Valor,0%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,706100000
  LEY 31651 29.12.2022-D.LEG.1519 30.12.2021-LEY 31105 31.12.2020-D.URG.24-2019-12.12.19-LEY 30899 28.,Valor,0%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,706900000
  LEY 31651 29.12.2022-D.LEG.1519 30.12.2021-LEY 31105 31.12.2020-D.URG.24-2019-12.12.19-LEY 30899 28.,Valor,0%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,707000000
  DS 279-2010-EF (PUB. 31.12.2010)-LEY 29546 30.06.2010,Valor,6%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,708100000
  DS 279-2010-EF (PUB. 31.12.2010)-LEY 29546 30.06.2010,Valor,6%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,708200000
  LEY 31651 29.12.2022-D.LEG.1519 30.12.2021-LEY 31105 31.12.2020-D.URG.24-2019-12.12.19-LEY 30899 28.,Valor,0%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,709200000
  LEY 31651 29.12.2022-D.LEG.1519 30.12.2021-LEY 31105 31.12.2020-D.URG.24-2019-12.12.19-LEY 30899 28.,Valor,0%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,709300000
  LEY 31651 29.12.2022-D.LEG.1519 30.12.2021-LEY 31105 31.12.2020-D.URG.24-2019-12.12.19-LEY 30899 28.,Valor,0%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,709510000
  LEY 31651 29.12.2022-D.LEG.1519 30.12.2021-LEY 31105 31.12.2020-D.URG.24-2019-12.12.19-LEY 30899 28.,Valor,0%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,709700000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,710100000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,710220000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,710290000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,710400000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,710801000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,711400000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,711510000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,711590000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,712200000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,712310000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,712320000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,712330000
  DS 279-2010-EF (PUB. 31.12.2010)-LEY 29546 30.06.2010,Valor,6%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,713109010
  DS 279-2010-EF (PUB. 31.12.2010)-LEY 29546 30.06.2010,Valor,6%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,713109020
  LEY 31651 29.12.2022-D.LEG.1519 30.12.2021-LEY 31105 31.12.2020-D.URG.24-2019-12.12.19-LEY 30899 28.,Valor,0%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,713201000
  DS 279-2010-EF (PUB. 31.12.2010)-LEY 29546 30.06.2010,Valor,6%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,713209000
  DS 279-2010-EF (PUB. 31.12.2010)-LEY 29546 30.06.2010,Valor,6%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,713329000
  LEY 31651 29.12.2022-D.LEG.1519 30.12.2021-LEY 31105 31.12.2020-D.URG.24-2019-12.12.19-LEY 30899 28.,Valor,0%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,713331100
  LEY 31651 29.12.2022-D.LEG.1519 30.12.2021-LEY 31105 31.12.2020-D.URG.24-2019-12.12.19-LEY 30899 28.,Valor,0%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,713331900
  DS 279-2010-EF (PUB. 31.12.2010)-LEY 29546 30.06.2010,Valor,6%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,713339100
